Land extent (Sq.M),Zone factor = 1.50 - 1.74,,,,Zone factor = 1.75-1.99,,,,Zone factor = 2.00-2.24,,,,Zone factor = 2.25-2.49,,,
,Minimum Road width,,,,Minimum Road width,,,,Minimum Road width,,,,Minimum Road width,,,
,**6m ,9m ,12m,15m or above,**6m ,9m ,12m,15m or above,**6m ,9m ,12m,15m or above,**6m ,9m ,12m,15m or above
150 less than 250,2.4,2.6,2.7,2.8,2.8,3.0,3.2,3.3,3.0,3.4,3.6,3.8,3.0,3.4,3.6,4.0
250 less than 375,2.6,3.2,3.6,4.0,3.0,3.4,4.3,4.7,3.2,3.6,4.5,4.5,3.5,3.8,4.5,5.0
375 less than 500,2.7,3.3,3.8,4.2,3.2,3.5,4.5,5.0,3.4,3.7,4.8,5.2,3.6,4.5,4.7,5.5
500 less than 750,2.8,3.4,4.0,4.5,3.4,3.6,4.7,5.5,3.5,4.0,5.0,6.0,3.7,5.0,5.0,6.0
750 less than 1000,3.1,3.6,4.3,5.0,3.5,3.8,5.1,6.0,3.6,4.5,5.7,6.5,3.8,5.1,6.0,6.5
1000 less than 1500,3.2,3.8,4.6,5.5,3.6,4.0,5.4,6.5,3.7,5.0,6.1,8.0,3.9,5.3,6.5,8.5
1500 less than 2000,3.4,4.0,5.0,6.0,3.7,4.2,5.8,7.0,3.8,5.1,6.7,9.0,4.0,5.4,7.0,*10
2000 less than 2500,3.5,4.2,5.2,6.5,3.8,4.4,6.2,7.5,3.9,5.2,7.1,*10 ,4.0,5.5,7.5,*10.5
2500 less than 3000,3.6,4.4,5.5,7.0,3.9,4.6,6.5,8.0,4.0,5.3,7.4,*10.5 ,4.0,5.6,7.5,*11.0
3000 less than 3500,3.7,4.6,6.0,7.5,4.0,4.8,6.9,8.5,4.0,5.4,7.6,*11 ,4.0,5.7,8.0,*11.5
3500 less than 4000,3.8,4.8,6.3,7.7,4.0,5.0,7.3,9.0,4.0,5.5,7.8,*11.5 ,4.0,5.8,8.0,*12.0
More than 4000,4.0,5.0,6.5,8.0,4.0,5.2,7.5,9.5,4.0,5.6,8.0,*12 ,4.0,5.9,8.0,*UL
