Serial No.,Usage,Category,Specifications,,,Parking Space Requirements,,,
,,,Minimum Road width,Floor area,Minimum land extent,Standard Vehicle,Bus,Lorry,Multi Axle
,,,(m),(m²),(m²),,,,
,Residential,Serviced Apartment,-,-,-,1 Space for 1 unit ,-,-,-
,Residential,Studio Apartment,-,-,-,1 Space for 1 unit ,-,-,-
,Residential,Quarters,-,-,-,1 Space for 1 unit ,-,-,-
,Residential,Hostels within the premises as an ancillary facility for main activity ( except schools),-,-,-,1 Space for 10 Rooms ,-,-,-
,Residential,Hostels outside the premises ( exclusively built),-,-,-,1 Space for 5 Rooms ,-,-,-
,Residential,Dormitaries outside the premises ,-,-,-,1 Space for 200m² ,-,-,-
,Residential,Elders' Homes / Children's Homes,-,-,-,1 Space for 10 Rooms  (minimum one space),-,-,-
,Residential,Government resettlement projects,-,-,-,15% from total build area (sqft) (excluding service area),-,-,-
